0,1,2
0.0,0.0,2.3617797
0.0,0.0,2.7075844
0.37569577,0.2850691,2.541579
0.0,0.0,2.4285398
4.827976e-06,1.5875955,0.0
0.0,1.7024295,0.0
0.0,1.7350062,0.0
0.0,0.15644264,2.0925806
1.4375002,1.8979056,1.647578
0.34632123,0.3156882,1.9726831
0.0,1.6273067,0.0002951622
0.00017082691,0.1985197,1.9955817
0.00015980005,0.11128378,1.9088596
0.04321462,0.31531507,1.9972975
1.6607246,2.0093842,1.5775573
1.7878997,2.083508,1.5101814
0.0,1.7373245,9.059906e-05
0.00026720762,0.16269177,1.8870242
1.7144868,1.9404478,1.4040409
0.100156605,0.37923402,1.9306443
1.7898107,2.0621772,1.5002556
0.00030857325,0.1559766,1.9185662
1.7114638,1.9495484,1.4328204
2.3638992,1.878355,1.7148223
2.9583697,0.12219751,2.3933587
3.0197854,0.15131569,2.5328362
1.855048,2.1691637,1.3604145
2.0449183,1.5686857,1.7778866
2.3876812,0.1122815,2.4752882
2.0980783,2.5611935,1.4427577
1.4778407,2.0151806,1.6979599
2.9521568,0.0,2.7018754
3.0655403,3.086946,2.07371
2.7044182,2.4128344,2.533343
